
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	n-Decane(ppbC)	3.653300E-001	5.249300E-001	2.216100E-001	1.064200E+000	7.395600E-001	5.885600E-002
1	1,2,3-Trimethylbenzene(ppbC)	4.492800E-002	6.401100E-002	3.598500E-002	1.878000E-001	1.280200E-001	2.906700E-002
1	m-Diethylbenzene(ppbC)	1.152500E-001	2.761100E-001	3.509500E-002	3.649300E-001	2.254500E-001	2.498400E-002
1	p-Diethylbenzene(ppbC)	2.501500E-002	4.217200E-002	4.740000E-003	8.026900E-002	3.979700E-002	1.043600E-002
1	n-Undecane(ppbC)	6.416900E-002	9.034000E-002	1.953600E-002	1.865100E-001	9.444200E-002	1.364500E-002
1	n-Dodecane(ppbC)	3.426400E-002	6.712800E-002	2.171100E-005	1.086700E-001	1.838800E-001	2.654900E-002

Factor Profiles (% of species sum) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	Ethane(ppbC)	1.450684E+001	0.000000E+000	4.975153E+001	6.454331E+000	1.865071E+001	1.063659E+001
1	Ethylene(ppbC)	4.412924E+001	8.318998E+000	4.209164E+001	2.096657E+000	9.179959E-003	3.354283E+000
1	Propane(ppbC)	1.278175E+001	6.980835E+000	3.883765E+001	6.683621E+000	1.973790E+001	1.497824E+001
1	Propylene(ppbC)	4.026152E+001	1.308614E+001	3.211882E+001	2.742701E+000	8.450820E+000	3.339998E+000
1	Isobutane(ppbC)	8.318948E+000	9.898442E+000	2.339059E+001	7.124664E+000	2.240911E+001	2.885824E+001
1	n-Butane(ppbC)	8.684501E+000	7.033533E+000	2.144896E+001	3.786112E+000	2.463881E+001	3.440809E+001
1	Acetylene(ppbC)	8.946827E+000	1.800585E+001	4.946065E+001	1.949036E+001	4.096313E+000	0.000000E+000
1	t-2-Butene(ppbC)	8.048833E+000	2.999973E+001	1.478043E+001	4.910046E+000	1.015207E+000	4.124575E+001
1	1-Butene(ppbC)	9.880505E+000	1.680503E+001	2.200724E+001	1.287950E+001	2.468707E+001	1.374065E+001
1	cis-2-Butene(ppbC)	1.516804E+001	2.140225E+001	1.938005E+001	8.748755E+000	3.707314E+000	3.159358E+001
1	Cyclopentane(ppbC)	1.596443E+001	3.861696E-001	2.155523E+001	2.920284E+001	1.591227E+001	1.697906E+001
1	Isopentane(ppbC)	1.085659E+001	6.039969E+000	1.417427E+001	6.928315E+000	2.385021E+001	3.815064E+001
1	n-Pentane(ppbC)	1.188242E+001	9.020246E-003	1.524729E+001	5.106322E-005	3.422214E+001	3.863908E+001
1	t-2-Pentene(ppbC)	9.125148E+000	2.714140E+001	1.201457E+001	1.895370E+001	1.377307E+000	3.138788E+001
