Source	n-Butane	Ethane	Ethylene	Propane	Propylene	Isobutane	n-Butane	Acetylene	t-2-Butene	1-Butene	cis-2-Butene	Cyclopentane	Isopentane	n-Pentane	t-2-Pentene	1-Pentene	cis-2-Pentene	"2,2-Dimethylbutane"	"2,3-Dimethylbutane"	2-Methylpentane	3-Methylpentane	Isoprene	Methylcyclopentane	"2,4-Dimethylpentane"	Benzene	Cyclohexane	2-Methylhexane	"2,3-Dimethylpentane"	3-Methylhexane	"2,2,4-Trimethylpentane"	n-Heptane	Methylcyclohexane	"2,3,4-Trimethylpentane"	Toluene	2-Methylheptane	3-Methylheptane	n-Octane	Ethylbenzene	"m,p-Xylene"	Styrene	o-Xylene	n-Nonane	Isopropylbenzene	n-Propylbenzene	m-Ethyltoluene	p-Ethyltoluene	"1,3,5-Trimethylbenzene"	o-Ethyltoluene	"1,2,4-Trimethylbenzene"	n-Decane	"1,2,3-Trimethylbenzene"	m-Diethylbenzene	p-Diethylbenzene	n-Undecane	n-Dodecane
Gasoline exhaust	1	0.6605958	3.62967392	0.330827864	0.860981403	0.575503243	1	1.88051674	0.080211982	0.556252824	0.187866688	0.127218932	3.337312119	1.617196558	0.064957302	0.119375701	0.154533355	1.006146423	0.565319456	1.370504915	1.261140386	0.133681777	0.595948997	0.484555416	2.177778882	0.427905019	0.689737342	0.513272685	0.474349088	1.188104126	0.963437654	0.234582365	0.255898259	5.074868081	0.220851102	0.57959496	0.665185406	1.147557655	1.451525402	0.046036734	0.964115456	0.128709506	0.118962017	0.835355043	0.701422504	0.354350745	0.270385814	0.125826983	1.638553913	0.189364873	0.266701891	0.142952065	0.285904131	-999	-999
Refinery operations	1	1.225194526	5.376071552	3.645402268	3.001111553	0.480460022	1	0.224544642	0.053168884	0.180995667	0.2	0.078508544	2.523876061	0.510621925	0.032025593	0.186571289	0.2	0.445830766	0.64	1.065	1.04	0.02227406	0.116912516	0.050251942	5.226517306	0.839888146	0.238035206	0.029750383	0.242276473	0.290768454	0.497520589	0.691207608	0.055278297	2.718165582	0.175410801	0.154994501	0.492507328	0.296550737	0.863960385	0.101875229	0.307781866	0.630299881	4.672460922	0.034658394	-999	-999	0.154925408	-999	0.271895078	0.564034625	0.139106224	-999	-999	-999	-999
Flare emissions	1	0.301699292	0.006491985	0.340221671	0.009600664	0.136491139	1	0.00531271	0.076404373	0.047110389	-999	0.030910516	0.941676395	0.328084652	0.103340041	0.046684587	-999	0.025743612	-999	-999	-999	0.007800767	0.032094526	0.001852737	0.069941727	0.014647166	0.006217661	0.003956693	0.017492843	0.033235158	0.028673188	0.004308136	0.010838233	0.035806678	0.000908407	0.004792629	0.011088828	-999	0.061745281	0.001742173	0.011935674	0.000593733	-999	0.000498043	-999	-999	0.001464833	-999	0.005419881	0.005400235	0.002519512	-999	-999	-999	-999
Household solvent use	1	2.4	-999	1.466666667	-999	-999	1	-999	-999	-999	-999	-999	-999	0.466666667	-999	-999	-999	-999	-999	1.066666667	-999	-999	-999	-999	2.4	-999	-999	-999	-999	-999	0.666666667	-999	-999	12.46666667	-999	-999	-999	1.133333333	0	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Hydrocarbon cracking	1	8.5	18.2	4.3	-999	0.5	1	0.2	-999	0.6	0.1	-999	0.8	-999	-999	0	0	0.1	0.1	0.5	0.2	0.1	-999	-999	0.8	0.2	0.1	-999	0.1	-999	-999	0.1	0	0.9	0	-999	-999	0.2	-999	0.1	0.2	-999	-999	-999	-999	-999	0	-999	0.1	-999	0.1	-999	-999	-999	-999
Hydrocarbon storage	1	0.155844156	0.25974026	0.376623377	-999	0.727272727	1	0.051948052	-999	0.25974026	0.142857143	-999	2.792207792	-999	-999	0.038961039	0.025974026	0.532467532	0.285714286	0.545454545	0.272727273	0.012987013	-999	-999	0.337662338	0.207792208	0.077922078	-999	0.090909091	-999	-999	0.103896104	0	0.363636364	0.025974026	-999	-999	0.064935065	-999	0	0.064935065	-999	-999	-999	-999	-999	0.012987013	-999	0.038961039	-999	0.012987013	-999	-999	-999	-999
Lubricant refinery	1	2.266666667	0.866666667	4.422222222	-999	0.977777778	1	0.155555556	-999	0.133333333	0.044444444	-999	1.155555556	-999	-999	0.066666667	0	0.133333333	0.266666667	0.666666667	0.355555556	0.044444444	-999	-999	0.488888889	0.333333333	0.244444444	-999	0.2	-999	-999	0.288888889	0	1.177777778	0.111111111	-999	-999	0.2	-999	0.133333333	0.311111111	-999	-999	-999	-999	-999	0.088888889	-999	0.177777778	-999	0.133333333	-999	-999	-999	-999
Lubricant storage	1	0.419354839	0.150537634	0.655913978	-999	0.290322581	1	0.021505376	-999	0.053763441	0.021505376	-999	0.688172043	-999	-999	0.032258065	0.010752688	0.021505376	0.139784946	0.333333333	0.311827957	0.010752688	-999	-999	0.129032258	0.204301075	0.23655914	-999	0.225806452	-999	-999	0.408602151	0	0.311827957	0.247311828	-999	-999	0.075268817	-999	0.021505376	0.139784946	-999	-999	-999	-999	-999	0.053763441	-999	0.064516129	-999	0.053763441	-999	-999	-999	-999
Metallurgy	1	4.96969697	4.545454545	1.96969697	-999	0.303030303	1	0.333333333	-999	0.151515152	0.060606061	-999	1.121212121	-999	-999	0.060606061	0.03030303	0.303030303	0.090909091	0.272727273	0.303030303	0.090909091	-999	-999	4.787878788	0.424242424	0.090909091	-999	0.151515152	-999	-999	0.181818182	0	2.606060606	0	-999	-999	0.393939394	-999	0.181818182	0.393939394	-999	-999	-999	-999	-999	0.121212121	-999	0.212121212	-999	0.090909091	-999	-999	-999	-999
Electric Arc Furnace	1	-999	-999	-999	-999	1.443925234	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.144859813	-999	-999	-999	-999	-999	-999	-999	-999	0.593457944	-999	-999	-999	-999	0.03271028	-999	0.018691589	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Rubber Manufacturing	1	0.145192308	0.145192308	0.762603776	-999	0.458756655	1	0.145192308	-999	-999	2.204623506	-999	-999	-999	-999	-999	0.090717086	-999	-999	0.011048077	-999	1.872708551	-999	-999	0.748372781	6.893288084	-999	-999	-999	-999	-999	-999	-999	0.131286982	-999	-999	-999	0.001990385	-999	0.632561478	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
