
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

		Factor 1	Factor 2	Factor 3
2	2,4-Dimethylpentane(ppbC)	2.523609E+001	4.674995E+001	2.801396E+001
2	Benzene(ppbC)	1.575794E+001	3.445893E+001	4.978313E+001
2	Cyclohexane(ppbC)	3.788594E+000	5.691776E+001	3.929365E+001
2	2-Methylhexane(ppbC)	1.499232E+001	6.227570E+001	2.273198E+001
2	2,3-Dimethylpentane(ppbC)	1.464058E+001	3.299686E+001	5.236257E+001
2	3-Methylhexane(ppbC)	1.481051E+001	3.058338E+001	5.460611E+001
2	2,2,4-Trimethylpentane(ppbC)	1.549516E+001	3.181783E+001	5.268700E+001
2	n-Heptane(ppbC)	6.062792E+000	3.420316E+001	5.973405E+001
2	Methylcyclohexane(ppbC)	1.933510E+001	3.593974E+001	4.472516E+001
2	2,3,4-Trimethylpentane(ppbC)	2.877788E+001	3.931771E+001	3.190441E+001
2	Toluene(ppbC)	6.922301E+000	2.818651E+001	6.489119E+001
2	2-Methylheptane(ppbC)	1.378526E+000	3.998265E+001	5.863882E+001
2	3-Methylheptane(ppbC)	1.653731E+001	3.623998E+001	4.722271E+001
2	n-Octane(ppbC)	1.320808E+001	2.914597E+001	5.764595E+001
2	Ethylbenzene(ppbC)	1.592695E+001	2.626584E+001	5.780721E+001
2	m,p-Xylene(ppbC)	1.359584E+001	3.419082E+001	5.221334E+001
2	Styrene(ppbC)	1.090629E+001	3.088479E+001	5.820892E+001
2	o-Xylene(ppbC)	7.850047E+000	5.332716E+000	8.681724E+001
2	n-Nonane(ppbC)	1.077523E+001	2.755451E+001	6.167026E+001
2	Isopropylbenzene(ppbC)	1.726062E+001	1.010514E+001	7.263424E+001
2	n-Propylbenzene(ppbC)	1.504288E+001	1.382757E+001	7.112955E+001
2	m-Ethyltoluene(ppbC)	7.861852E+000	1.844419E+001	7.369396E+001
2	p-Ethyltoluene(ppbC)	6.149379E+000	2.353183E+001	7.031879E+001
2	1,3,5-Trimethylbenzene(ppbC)	9.559207E+000	1.980757E+001	7.063322E+001
2	o-Ethyltoluene(ppbC)	1.194198E+001	2.234548E+001	6.571255E+001
2	1,2,4-Trimethylbenzene(ppbC)	9.718410E+000	2.283379E+001	6.744781E+001
2	n-Decane(ppbC)	1.013225E+001	2.825619E+001	6.161156E+001
2	1,2,3-Trimethylbenzene(ppbC)	1.675661E+001	1.850404E+001	6.473936E+001
2	m-Diethylbenzene(ppbC)	1.576556E+001	1.820150E+001	6.603294E+001
2	p-Diethylbenzene(ppbC)	1.475116E+001	2.736241E+001	5.788643E+001
2	n-Undecane(ppbC)	9.930293E+000	2.080716E+001	6.926254E+001
2	n-Dodecane(ppbC)	2.013411E+001	1.235756E+001	6.750832E+001

Factor Profiles (% of factor total) from Base Run #2 (Convergent Run)

		Factor 1	Factor 2	Factor 3
2	Ethane(ppbC)	3.387080E+000	7.169074E+000	1.420861E+000
2	Ethylene(ppbC)	6.034500E-001	9.576249E+000	4.103991E+000
2	Propane(ppbC)	7.395193E+000	7.445280E+000	4.151527E+000
2	Propylene(ppbC)	1.986456E+000	3.768216E+000	3.054569E+000
2	Isobutane(ppbC)	7.410375E+000	2.510799E+000	2.332220E+000
2	n-Butane(ppbC)	1.433317E+001	4.691838E+000	3.094183E+000
2	Acetylene(ppbC)	0.000000E+000	3.842128E+000	2.941928E+000
2	t-2-Butene(ppbC)	1.821436E+000	4.525307E-001	1.033972E-001
2	1-Butene(ppbC)	1.603033E+000	6.470855E-001	5.245901E-001
2	cis-2-Butene(ppbC)	1.086683E+000	4.530075E-001	3.120707E-004
2	Cyclopentane(ppbC)	9.803061E-001	8.410351E-001	2.275210E-001
2	Isopentane(ppbC)	1.407473E+001	4.677532E+000	3.809643E+000
2	n-Pentane(ppbC)	1.106666E+001	2.787372E+000	1.372153E+000
2	t-2-Pentene(ppbC)	1.531115E+000	4.667262E-001	1.003383E-001
2	1-Pentene(ppbC)	4.348992E-001	1.808857E-001	7.610329E-002
2	cis-2-Pentene(ppbC)	5.383811E-001	1.680695E-001	8.097234E-002
2	2,2-Dimethylbutane(ppbC)	4.877170E-001	2.430285E-001	1.676422E-002
2	2,3-Dimethylbutane(ppbC)	9.547094E-001	4.551534E-001	4.147566E-001
2	2-Methylpentane(ppbC)	2.187312E+000	1.531532E+000	1.144185E+000
2	3-Methylpentane(ppbC)	1.565009E+000	1.221048E+000	1.006518E+000
2	Isoprene(ppbC)	1.013529E+000	1.699035E-003	5.739180E-001
2	Methylcyclopentane(ppbC)	3.097783E+000	2.241929E+000	9.916542E-001
2	2,4-Dimethylpentane(ppbC)	2.226608E+000	2.142707E+000	1.205775E+000
2	Benzene(ppbC)	4.001934E-001	4.546032E-001	6.167698E-001
2	Cyclohexane(ppbC)	5.796185E-001	4.523473E+000	2.932627E+000
2	2-Methylhexane(ppbC)	7.206306E-001	1.554971E+000	5.330296E-001
2	2,3-Dimethylpentane(ppbC)	8.234063E-001	9.640257E-001	1.436638E+000
2	3-Methylhexane(ppbC)	3.596975E-001	3.858450E-001	6.469623E-001
2	2,2,4-Trimethylpentane(ppbC)	9.215923E-001	9.830447E-001	1.528680E+000
2	n-Heptane(ppbC)	4.837274E-001	1.417602E+000	2.324986E+000
2	Methylcyclohexane(ppbC)	1.181303E+000	1.140644E+000	1.333022E+000
2	2,3,4-Trimethylpentane(ppbC)	7.916310E-001	5.618394E-001	4.281392E-001
2	Toluene(ppbC)	2.183993E-001	4.619577E-001	9.987502E-001
2	2-Methylheptane(ppbC)	9.999010E-001	1.506516E+001	2.074902E+001
2	3-Methylheptane(ppbC)	3.648521E-001	4.153364E-001	5.082452E-001
2	n-Octane(ppbC)	2.743134E-001	3.144459E-001	5.840453E-001
2	Ethylbenzene(ppbC)	5.883744E-001	5.040488E-001	1.041774E+000
2	m,p-Xylene(ppbC)	1.413475E+000	1.846510E+000	2.648097E+000
2	Styrene(ppbC)	3.495152E+000	5.141544E+000	9.100153E+000
2	o-Xylene(ppbC)	4.275556E-001	1.508790E-001	2.306729E+000
2	n-Nonane(ppbC)	1.437943E+000	1.910151E+000	4.014773E+000
2	Isopropylbenzene(ppbC)	4.172109E-001	1.268825E-001	8.564677E-001
2	n-Propylbenzene(ppbC)	1.989281E-001	9.498853E-002	4.588657E-001
2	m-Ethyltoluene(ppbC)	1.575954E-001	1.920605E-001	7.206441E-001
2	p-Ethyltoluene(ppbC)	3.366003E-001	6.691123E-001	1.877694E+000
2	1,3,5-Trimethylbenzene(ppbC)	3.300757E-001	3.552900E-001	1.189792E+000
2	o-Ethyltoluene(ppbC)	3.595562E-001	3.494944E-001	9.651818E-001
2	1,2,4-Trimethylbenzene(ppbC)	2.869212E-001	3.501913E-001	9.714167E-001
2	n-Decane(ppbC)	1.098475E+000	1.591322E+000	3.258494E+000
2	1,2,3-Trimethylbenzene(ppbC)	3.223084E-001	1.848894E-001	6.074691E-001
2	m-Diethylbenzene(ppbC)	6.297530E-001	3.776836E-001	1.286743E+000
2	p-Diethylbenzene(ppbC)	1.019990E-001	9.828430E-002	1.952616E-001
2	n-Undecane(ppbC)	1.839336E-001	2.002037E-001	6.258465E-001
2	n-Dodecane(ppbC)	3.092311E-001	9.859242E-002	5.057994E-001
