
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
10	Styrene(ppbC)	5.652800E-001	4.541500E-001	1.749100E+000	3.189100E+000	1.167300E+000	1.984300E-001	7.433600E-001	1.267500E+000
10	o-Xylene(ppbC)	1.127000E-002	0.000000E+000	8.875300E-001	1.341000E-001	0.000000E+000	0.000000E+000	0.000000E+000	1.071500E+000
10	n-Nonane(ppbC)	1.692600E-001	1.757400E-001	8.703300E-001	1.211400E+000	4.450400E-001	5.986200E-002	3.852400E-001	5.255400E-001
10	Isopropylbenzene(ppbC)	5.046800E-003	0.000000E+000	9.247700E-002	2.099200E-001	6.993300E-002	2.245600E-001	5.372000E-002	6.660000E-002
10	n-Propylbenzene(ppbC)	0.000000E+000	2.589100E-003	0.000000E+000	9.698500E-002	0.000000E+000	1.659700E-001	7.845400E-002	8.363700E-002
10	m-Ethyltoluene(ppbC)	9.837400E-003	2.978700E-002	1.157300E-001	2.318800E-001	0.000000E+000	4.773100E-002	6.493100E-002	8.008200E-002
10	p-Ethyltoluene(ppbC)	1.914900E-002	9.521900E-002	3.107300E-001	6.323600E-001	6.665700E-002	1.046100E-001	1.347200E-001	2.115100E-001
10	1,3,5-Trimethylbenzene(ppbC)	9.307000E-003	3.626900E-002	2.240500E-001	3.391300E-001	1.060500E-001	7.200100E-002	1.113100E-001	8.123000E-002
10	o-Ethyltoluene(ppbC)	8.337400E-003	2.540300E-002	1.858000E-001	2.604500E-001	1.542400E-001	6.382300E-002	1.204600E-001	3.928200E-002
10	1,2,4-Trimethylbenzene(ppbC)	1.212100E-003	3.201800E-002	1.751600E-001	2.565300E-001	1.205200E-001	7.567400E-002	9.277500E-002	8.016300E-002
10	n-Decane(ppbC)	4.361100E-002	1.553300E-001	7.491900E-001	8.800400E-001	5.580300E-001	1.013900E-002	4.996000E-001	2.132100E-001
10	1,2,3-Trimethylbenzene(ppbC)	5.643300E-003	6.764500E-003	8.511200E-002	1.420600E-001	9.435700E-002	9.600100E-002	8.773500E-002	3.588500E-002
10	m-Diethylbenzene(ppbC)	1.954400E-002	8.119600E-003	3.137800E-001	2.685400E-001	2.306900E-001	9.247700E-002	1.346500E-001	6.589800E-002
10	p-Diethylbenzene(ppbC)	4.524800E-003	0.000000E+000	4.443900E-002	4.942600E-002	6.136100E-002	1.069200E-002	3.318600E-002	0.000000E+000
10	n-Undecane(ppbC)	7.122900E-003	1.455500E-002	1.097100E-001	1.653200E-001	6.910300E-002	4.360100E-002	5.492200E-002	6.050300E-002
10	n-Dodecane(ppbC)	2.498000E-002	4.524300E-003	8.698900E-002	1.126900E-001	2.709500E-002	3.465100E-002	1.211200E-001	3.691800E-002

Factor Profiles (% of species sum) from Base Run #10 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
10	Ethane(ppbC)	7.134887E+000	4.020446E+001	0.000000E+000	2.138364E+001	1.659698E+001	0.000000E+000	1.468003E+001	0.000000E+000
10	Ethylene(ppbC)	0.000000E+000	3.705965E+001	3.601309E+000	1.484566E+001	1.749961E+001	0.000000E+000	0.000000E+000	2.699376E+001
10	Propane(ppbC)	1.649835E+001	2.767155E+001	6.397463E+000	2.758016E+001	7.860693E-002	3.015655E+000	1.131631E+001	7.441900E+000
10	Propylene(ppbC)	0.000000E+000	2.227491E+001	1.285016E+001	0.000000E+000	1.967913E+001	4.132805E+000	9.204391E+000	3.185861E+001
10	Isobutane(ppbC)	3.264455E+001	1.018610E+001	6.387055E+000	2.104945E+001	0.000000E+000	8.181431E+000	1.135098E+001	1.020043E+001
10	n-Butane(ppbC)	3.864137E+001	8.054148E+000	3.970425E+000	1.644978E+001	2.110497E+000	6.516929E+000	1.379031E+001	1.046655E+001
10	Acetylene(ppbC)	6.871527E-001	3.952289E+001	1.002473E+001	4.594552E+001	0.000000E+000	3.491718E+000	3.279829E-001	0.000000E+000
10	t-2-Butene(ppbC)	4.645895E+001	1.955811E+000	1.562251E+001	7.750142E+000	2.258693E+001	3.069326E+000	0.000000E+000	2.556336E+000
10	1-Butene(ppbC)	1.625682E+001	1.105133E+001	1.909255E+001	8.895203E+000	2.207088E+001	4.573674E+000	1.601431E+001	2.045228E+000
10	cis-2-Butene(ppbC)	3.588087E+001	7.745390E+000	1.132444E+001	6.490526E+000	3.029326E+001	2.514691E-001	2.037095E+000	5.976955E+000
10	Cyclopentane(ppbC)	1.732560E+001	1.007084E+001	2.192621E+000	1.504964E+001	2.934176E+001	4.258536E-001	1.473939E+001	1.085429E+001
10	Isopentane(ppbC)	3.901662E+001	2.719096E+000	7.262615E+000	1.392692E+001	3.927083E+000	2.069517E+000	1.707507E+001	1.400308E+001
10	n-Pentane(ppbC)	4.426311E+001	0.000000E+000	6.254060E+000	0.000000E+000	6.727865E+000	0.000000E+000	2.730155E+001	1.545341E+001
10	t-2-Pentene(ppbC)	3.385419E+001	0.000000E+000	1.780951E+001	8.010477E+000	3.634481E+001	3.290151E+000	4.633567E-001	2.275080E-001
10	1-Pentene(ppbC)	1.713555E+001	6.272975E+000	1.714596E+001	8.145538E+000	3.646109E+001	5.346357E+000	9.492535E+000	0.000000E+000
10	cis-2-Pentene(ppbC)	3.073469E+001	7.226492E-001	1.679324E+001	1.158891E+001	3.137518E+001	5.700227E+000	0.000000E+000	3.085103E+000
10	2,2-Dimethylbutane(ppbC)	2.016743E+001	3.363085E+000	7.276609E+000	5.914449E+000	4.628860E+001	1.314203E+000	1.261006E+001	3.065566E+000
10	2,3-Dimethylbutane(ppbC)	2.140371E+001	4.861390E+000	1.284913E+001	2.253166E+001	1.946301E+001	6.024768E+000	6.614663E+000	6.251661E+000
10	2-Methylpentane(ppbC)	2.852509E+001	3.571895E+000	4.800986E+000	2.724767E+001	1.164784E+001	4.844089E+000	4.789666E+000	1.457276E+001
10	3-Methylpentane(ppbC)	2.433127E+001	5.018207E+000	5.555367E+000	3.080000E+001	1.026100E+001	5.566886E+000	4.339407E+000	1.412787E+001
10	Isoprene(ppbC)	4.075053E+000	5.794885E+000	4.310789E+001	0.000000E+000	1.238422E+001	3.463795E+001	0.000000E+000	0.000000E+000
10	Methylcyclopentane(ppbC)	2.737192E+001	2.446243E+000	1.377804E+000	1.919173E+001	2.264775E+001	4.866817E+000	7.435550E+000	1.466218E+001
10	2,4-Dimethylpentane(ppbC)	1.336295E+001	9.597563E+000	4.830569E+000	1.618250E+001	2.141169E+001	5.502598E+000	6.631356E+000	2.248077E+001
10	Benzene(ppbC)	7.139606E+000	9.268717E+000	1.525577E+001	3.361084E+001	1.324343E+001	6.456237E+000	4.516682E+000	1.050871E+001
10	Cyclohexane(ppbC)	3.411352E+000	1.561617E+001	6.459490E+000	2.922750E+001	1.072289E+001	0.000000E+000	6.673012E+000	2.788959E+001
10	2-Methylhexane(ppbC)	9.180570E+000	1.297231E+001	0.000000E+000	1.232084E+001	2.488988E+001	1.062992E+000	3.015494E+000	3.655791E+001
10	2,3-Dimethylpentane(ppbC)	1.002534E+001	8.171424E+000	1.553774E+001	4.074460E+001	8.418734E+000	4.797613E+000	1.094417E+000	1.121013E+001
10	3-Methylhexane(ppbC)	9.183079E+000	8.356136E+000	1.626702E+001	4.195773E+001	7.387420E+000	6.295471E+000	7.809535E-001	9.772199E+000
10	2,2,4-Trimethylpentane(ppbC)	9.707550E+000	7.253817E+000	1.561477E+001	3.767483E+001	9.801726E+000	6.167927E+000	1.526219E+000	1.225316E+001
10	n-Heptane(ppbC)	3.705801E+000	1.135874E+001	1.600562E+001	4.898980E+001	4.228384E+000	4.792563E+000	1.348750E+000	9.570346E+000
10	Methylcyclohexane(ppbC)	1.296167E+001	6.505940E+000	1.220568E+001	3.390442E+001	1.401726E+001	5.419050E+000	3.166380E+000	1.181960E+001
